dt,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,weather,time
1592006400,300.11,297.03,1017,39,284.99,20,5.2,317,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2020-06-13 00:00:00
1592010000,299.03,296.49,1017,42,285.15,53,4.5,329,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2020-06-13 01:00:00
1592013600,297.68,294.55,1018,43,284.29,39,4.98,335,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2020-06-13 02:00:00
1592017200,295.62,290.94,1018,45,283.11,33,6.72,336,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2020-06-13 03:00:00
1592020800,293.75,288.97,1019,49,282.67,29,6.71,341,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2020-06-13 04:00:00
1592024400,292.39,287.64,1019,50,281.92,23,6.32,344,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2020-06-13 05:00:00
1592028000,291.17,286.12,1020,48,280.29,20,6.16,345,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2020-06-13 06:00:00
1592031600,290.36,285.25,1020,43,277.86,0,5.56,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-13 07:00:00
1592035200,289.74,284.75,1021,41,276.46,0,5.06,337,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-13 08:00:00
1592038800,289.21,284.59,1021,44,277.17,0,4.66,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-13 09:00:00
1592042400,289.06,285.18,1022,48,278.25,0,3.91,7,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 10:00:00
1592046000,289.33,285.51,1022,48,278.33,0,3.9,15,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 11:00:00
1592049600,289.89,286.29,1023,45,278.21,0,3.47,16,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 12:00:00
1592053200,290.78,287.08,1023,42,277.77,0,3.55,15,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 13:00:00
1592056800,291.94,288.29,1023,37,277.18,0,3.27,13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 14:00:00
1592060400,293.08,289.85,1022,33,276.5,0,2.51,6,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 15:00:00
1592064000,294.51,291.6,1022,28,275.63,0,1.79,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 16:00:00
1592067600,295.42,292.48,1022,26,275.36,0,1.77,302,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 17:00:00
1592071200,295.98,292.78,1022,25,275.34,0,2.13,289,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 18:00:00
1592074800,296.34,293.0,1022,25,275.57,0,2.39,296,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 19:00:00
1592078400,296.4,292.89,1022,26,275.91,0,2.79,305,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 20:00:00
1592082000,296.2,292.59,1022,26,275.9,0,2.89,318,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 21:00:00
1592085600,295.67,291.9,1022,26,275.73,0,3.01,327,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 22:00:00
1592089200,294.97,291.18,1022,28,275.84,4,3.14,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-13 23:00:00
1592092800,294.27,290.47,1023,31,276.63,8,3.36,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 00:00:00
1592096400,293.13,288.79,1024,38,278.61,12,4.66,22,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2020-06-14 01:00:00
1592100000,291.58,286.7,1024,42,278.54,11,5.44,31,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2020-06-14 02:00:00
1592103600,290.63,285.3,1025,41,277.39,7,5.75,32,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 03:00:00
1592107200,290.17,284.97,1025,40,276.57,5,5.36,29,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 04:00:00
1592110800,289.61,284.42,1025,40,276.25,4,5.23,29,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 05:00:00
1592114400,289.21,284.01,1026,40,275.74,4,5.15,31,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 06:00:00
1592118000,288.82,283.64,1026,40,275.41,0,5.03,36,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 07:00:00
1592121600,288.52,283.71,1026,41,275.42,0,4.53,33,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 08:00:00
1592125200,288.08,283.12,1026,41,275.26,0,4.64,28,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2020-06-14 09:00:00
1592128800,287.59,282.78,1027,43,275.37,4,4.49,21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 10:00:00
1592132400,287.72,282.83,1027,44,275.71,24,4.71,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2020-06-14 11:00:00
1592136000,288.33,283.55,1027,43,276.09,35,4.61,19,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2020-06-14 12:00:00
1592139600,289.25,284.6,1028,42,276.53,89,4.55,18,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",2020-06-14 13:00:00
1592143200,290.69,286.44,1028,37,276.17,46,3.84,16,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2020-06-14 14:00:00
1592146800,291.97,288.28,1028,32,275.15,31,2.82,1,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2020-06-14 15:00:00
1592150400,293.25,289.51,1027,27,274.07,22,2.62,354,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2020-06-14 16:00:00
1592154000,294.48,291.34,1027,25,274.07,18,1.76,351,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2020-06-14 17:00:00
1592157600,295.4,293.0,1027,25,274.48,15,0.87,344,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2020-06-14 18:00:00
1592161200,295.92,293.93,1026,25,275.11,0,0.39,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 19:00:00
1592164800,295.92,293.56,1026,26,275.86,0,1.04,184,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 20:00:00
1592168400,295.33,292.1,1025,29,276.74,0,2.54,175,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 21:00:00
1592172000,294.34,290.46,1025,33,277.82,0,3.73,168,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 22:00:00
1592175600,293.39,289.81,1026,38,278.64,0,3.64,167,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2020-06-14 23:00:00
